preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
meg,kívánna,Nem kívánna meg,Nem megkívánna,Ő nem kívánná meg az édes süteményt,Ő nem megkívánná az édes süteményt,Ő nem akkoriban kívánná meg az édes süteményt,Ő nem akkoriban megkívánná az édes süteményt,Ő nem akkoriban sem kívánná meg az édes süteményt,Ő nem akkoriban sem megkívánná az édes süteményt
be,mutatták,Nem mutatták be,Nem bemutatták,Ők nem mutatták be az új terméket,Ők nem bemutatták az új terméket,Ők nem azonnal mutatták be az új terméket,Ők nem azonnal bemutatták az új terméket,Ők nem azonnal pont mutatták be az új terméket,Ők nem azonnal pont bemutatták az új terméket
föl,vetni,Nem vetni föl,Nem fölvetni,Szeretném nem vetni föl a nehéz kérdést,Szeretném nem fölvetni a nehéz kérdést,Szeretném nem emiatt vetni föl a nehéz kérdést,Szeretném nem emiatt fölvetni a nehéz kérdést,Szeretném nem emiatt is vetni föl a nehéz kérdést,Szeretném nem emiatt is fölvetni a nehéz kérdést
ki,mutatott,Nem mutatott ki,Nem kimutatott,Nem mutatott ki nagy türelmet,Nem kimutatott nagy türelmet,Nem ezért mutatott ki nagy türelmet,Nem ezért kimutatott nagy türelmet,Nem ezért már mutatott ki nagy türelmet,Nem ezért már kimutatott nagy türelmet
elő,irányoz,Nem irányoz elő,Nem előirányoz,Nem irányoz elő új szabályt,Nem előirányoz új szabályt,Nem csaknem irányoz elő új szabályt,Nem csaknem előirányoz új szabályt,Nem csaknem pont irányoz elő új szabályt,Nem csaknem pont előirányoz új szabályt
alá,vetnie,Nem vet alá,Nem alávet,Nem vet alá a fontos döntést,Nem alávet a fontos döntést,Nem este vet alá a fontos döntést,Nem este alávet a fontos döntést,Nem este túl vet alá a fontos döntést,Nem este túl alávet a fontos döntést
be,fejeztük,Nem fejeztük be,Nem befejeztük,Még nem fejeztük be a nehéz munkát,Még nem befejeztük a nehéz munkát,Még nem aznap fejeztük be a nehéz munkát,Még nem aznap befejeztük a nehéz munkát,Még nem aznap sem fejeztük be a nehéz munkát,Még nem aznap sem befejeztük a nehéz munkát
közzé,teszi,Nem teszi közzé,Nem közzéteszi,Ő nem teszi közzé a hosszú cikket,Ő nem közzéteszi a hosszú cikket,Ő nem mindig teszi közzé a hosszú cikket,Ő nem mindig közzéteszi a hosszú cikket,Ő nem mindig pont teszi közzé a hosszú cikket,Ő nem mindig pont közzéteszi a hosszú cikket
el,tereli,Nem tereli el,Nem eltereli,Ő nem tereli el a közös figyelmet,Ő nem eltereli a közös figyelmet,Ő nem ezért tereli el a közös figyelmet,Ő nem ezért eltereli a közös figyelmet,Ő nem ezért ugyan tereli el a közös figyelmet,Ő nem ezért ugyan eltereli a közös figyelmet
meg,válniuk,Nem válnak meg,Nem megválnak,Nem válnak meg a súlyos gondtól,Nem megválnak a súlyos gondtól,Nem okvetlenül válnak meg a súlyos gondtól,Nem okvetlenül megválnak a súlyos gondtól,Nem okvetlenül már válnak meg a súlyos gondtól,Nem okvetlenül már megválnak a súlyos gondtól
rá,mutatott,Nem mutatott rá,Nem rámutatott,Nem mutatott rá a nyilvánvaló hibára,Nem rámutatott a nyilvánvaló hibára,Nem azután mutatott rá a nyilvánvaló hibára,Nem azután rámutatott a nyilvánvaló hibára,Nem azután is mutatott rá a nyilvánvaló hibára,Nem azután is rámutatott a nyilvánvaló hibára
elő,fordult,Nem fordult elő,Nem előfordult,Korábban nem fordult elő ilyen hasonló eset,Korábban nem előfordult ilyen hasonló eset,Korábban nem időközben fordult elő ilyen hasonló eset,Korábban nem időközben előfordult ilyen hasonló eset,Korábban nem időközben sem fordult elő ilyen hasonló eset,Korábban nem időközben sem előfordult ilyen hasonló eset
fel,lépett,Nem lépett fel,Nem fellépett,Nem lépett fel a nagy színpadon,Nem fellépett a nagy színpadon,Nem ilyenkor lépett fel a nagy színpadon,Nem ilyenkor fellépett a nagy színpadon,Nem ilyenkor már lépett fel a nagy színpadon,Nem ilyenkor már fellépett a nagy színpadon
ki,mondta,Nem mondta ki,Nem kimondta,Nem mondta ki a teljes nevét,Nem kimondta a teljes nevét,Nem mindenáron mondta ki a teljes nevét,Nem mindenáron kimondta a teljes nevét,Nem mindenáron pont mondta ki a teljes nevét,Nem mindenáron pont kimondta a teljes nevét
egyet,ért,Nem ért egyet,Nem egyetért,Nem ért egyet az új javaslattal,Nem egyetért az új javaslattal,Nem akkor ért egyet az új javaslattal,Nem akkor egyetért az új javaslattal,Nem akkor is ért egyet az új javaslattal,Nem akkor is egyetért az új javaslattal
meg,tette,Nem tette meg,Nem megtette,A gyerek nem tette meg a helyes döntést,A gyerek nem megtette a helyes döntést,A gyerek nem időközben tette meg a helyes döntést,A gyerek nem időközben megtette a helyes döntést,A gyerek nem időközben pont tette meg a helyes döntést,A gyerek nem időközben pont megtette a helyes döntést
meg,bilincselték,Nem bilincselték meg,Nem megbilincselték,A rendőrök nem bilincselték meg az ellenséges foglyot,A rendőrök nem megbilincselték az ellenséges foglyot,A rendőrök nem ilyenkor bilincselték meg az ellenséges foglyot,A rendőrök nem ilyenkor megbilincselték az ellenséges foglyot,A rendőrök nem ilyenkor csak bilincselték meg az ellenséges foglyot,A rendőrök nem ilyenkor csak megbilincselték az ellenséges foglyot
meg,volt,Nem volt meg,Nem megvolt,Neki nem volt meg a helyes válasz,Neki nem megvolt a helyes válasz,Neki nem csaknem volt meg a helyes válasz,Neki nem csaknem megvolt a helyes válasz,Neki nem csaknem pont volt meg a helyes válasz,Neki nem csaknem pont megvolt a helyes válasz
fel,használják,Nem használják fel,Nem felhasználják,Ők nem használják fel a drága anyagot,Ők nem felhasználják a drága anyagot,Ők nem este használják fel a drága anyagot,Ők nem este felhasználják a drága anyagot,Ők nem este már használják fel a drága anyagot,Ők nem este már felhasználják a drága anyagot
vissza,ütötte,Nem ütötte vissza,Nem visszaütötte,A játékos nem ütötte vissza a kemény labdát,A játékos nem visszaütötte a kemény labdát,A játékos nem mindjárt ütötte vissza a kemény labdát,A játékos nem mindjárt visszaütötte a kemény labdát,A játékos nem mindjárt is ütötte vissza a kemény labdát,A játékos nem mindjárt is visszaütötte a kemény labdát
meg,fertőzött,Nem fertőzött meg,Nem megfertőzött,A vírus nem fertőzött meg senkit,A vírus nem megfertőzött senkit,A vírus nem korábban fertőzött meg senkit,A vírus nem korábban megfertőzött senkit,A vírus nem korábban sem fertőzött meg senkit,A vírus nem korábban sem megfertőzött senkit
meg,teremti,Nem teremti meg,Nem megteremti,Nem teremti meg a tartós békét,Nem megteremti a tartós békét,Nem időközben teremti meg a tartós békét,Nem időközben megteremti a tartós békét,Nem időközben túl teremti meg a tartós békét,Nem időközben túl megteremti a tartós békét
fel,szerelik,Nem szerelik fel,Nem felszerelik,Még nem szerelik fel az új kamerát,Még nem felszerelik az új kamerát,Még nem bármikor szerelik fel az új kamerát,Még nem bármikor felszerelik az új kamerát,Még nem bármikor pont szerelik fel az új kamerát,Még nem bármikor pont felszerelik az új kamerát
el,rendelték,Nem rendelték el,Nem elrendelték,Ők nem rendelték el a részletes vizsgálatot,Ők nem elrendelték a részletes vizsgálatot,Ők nem este rendelték el a részletes vizsgálatot,Ők nem este elrendelték a részletes vizsgálatot,Ők nem este ugyan rendelték el a részletes vizsgálatot,Ők nem este ugyan elrendelték a részletes vizsgálatot
ki,dőlt,Nem dőlt ki,Nem kidőlt,A vihar nem dőltötte ki az öreg fát,A vihar nem kidőltétte az öreg fát,A vihar nem véletlenül dőltötte ki az öreg fát,A vihar nem véletlenül kidőltétte az öreg fát,A vihar nem véletlenül talán dőltötte ki az öreg fát,A vihar nem véletlenül talán kidőltétte az öreg fát
ki,keresztelkedjen,Ne keresztelkedjen ki,Ne kikeresztelkedjen,Ne keresztelkedjen meg a templomban,Ne megkeresztelkedjen a templomban,Ne időközben keresztelkedjen meg a templomban,Ne időközben megkeresztelkedjen a templomban,Ne időközben is keresztelkedjen meg a templomban,Ne időközben is megkeresztelkedjen a templomban
el,követett,Nem követett el,Nem elkövetett,Ő nem követett el súlyos bűnt,Ő nem elkövetett súlyos bűnt,Ő nem korábban követett el súlyos bűnt,Ő nem korábban elkövetett súlyos bűnt,Ő nem korábban már követett el súlyos bűnt,Ő nem korábban már elkövetett súlyos bűnt
meg,teszi,Nem teszi meg,Nem megteszi,Nem teszi meg a döntő lépést,Nem megteszi a döntő lépést,Nem azután teszi meg a döntő lépést,Nem azután megteszi a döntő lépést,Nem azután pont teszi meg a döntő lépést,Nem azután pont megteszi a döntő lépést
meg,bénította,Nem bénította meg,Nem megbénította,A támadó nem bénította meg a fiatal rendőrt,A támadó nem megbénította a fiatal rendőrt,A támadó nem aztán bénította meg a fiatal rendőrt,A támadó nem aztán megbénította a fiatal rendőrt,A támadó nem aztán már bénította meg a fiatal rendőrt,A támadó nem aztán már megbénította a fiatal rendőrt
el,zárkóznak,Nem zárkóznak el,Nem elzárkóznak,Ők nem zárkóznak el a vidám társaságtól,Ők nem elzárkóznak a vidám társaságtól,Ők nem mindenáron zárkóznak el a vidám társaságtól,Ők nem mindenáron elzárkóznak a vidám társaságtól,Ők nem mindenáron túl zárkóznak el a vidám társaságtól,Ők nem mindenáron túl elzárkóznak a vidám társaságtól
meg,haladja,Nem haladja meg,Nem meghaladja,A sebesség nem haladja meg a szabályos határt,A sebesség nem meghaladja a szabályos határt,A sebesség nem azután haladja meg a szabályos határt,A sebesség nem azután meghaladja a szabályos határt,A sebesség nem azután is haladja meg a szabályos határt,A sebesség nem azután is meghaladja a szabályos határt
be,építette,Nem építette be,Nem beépítette,Ő nem építette be az új készüléket,Ő nem beépítette az új készüléket,Ő nem mindenesetre építette be az új készüléket,Ő nem mindenesetre beépítette az új készüléket,Ő nem mindenesetre csak építette be az új készüléket,Ő nem mindenesetre csak beépítette az új készüléket
meg,tervezze,Ne tervezze meg,Ne megtervezze,Kérlek ne tervezze meg a hosszú utat,Kérlek ne megtervezze a hosszú utat,Kérlek ne mindenképpen tervezze meg a hosszú utat,Kérlek ne mindenképpen megtervezze a hosszú utat,Kérlek ne mindenképpen pont tervezze meg a hosszú utat,Kérlek ne mindenképpen pont megtervezze a hosszú utat
be,állhat,Nem állhat be,Nem beállhat,Ő nem állhat be a hosszú sorba,Ő nem beállhat a hosszú sorba,Ő nem mindenesetre állhat be a hosszú sorba,Ő nem mindenesetre beállhat a hosszú sorba,Ő nem mindenesetre sem állhat be a hosszú sorba,Ő nem mindenesetre sem beállhat a hosszú sorba
el,zártak,Nem zártak el,Nem elzártak,Tavaly nem zártak be sikeres üzletet,Tavaly nem bezártak sikeres üzletet,Tavaly nem azért zártak be sikeres üzletet,Tavaly nem azért bezártak sikeres üzletet,Tavaly nem azért is zártak be sikeres üzletet,Tavaly nem azért is bezártak sikeres üzletet
meg,érkezne,Nem érkezne meg,Nem megérkezne,Szerintem nem érkezne meg a gyors vonat,Szerintem nem megérkezne a gyors vonat,Szerintem nem holnap érkezne meg a gyors vonat,Szerintem nem holnap megérkezne a gyors vonat,Szerintem nem holnap pont érkezne meg a gyors vonat,Szerintem nem holnap pont megérkezne a gyors vonat
előre,jutottak,Nem jutottak előre,Nem előrejutottak,Nem jutottak előre a fontos pályázaton,Nem előrejutottak a fontos pályázaton,Nem ilyenkor jutottak előre a fontos pályázaton,Nem ilyenkor előrejutottak a fontos pályázaton,Nem ilyenkor talán jutottak előre a fontos pályázaton,Nem ilyenkor talán előrejutottak a fontos pályázaton
el,látogatott,Nem látogatott el,Nem ellátogatott,Nem látogatott el régen hozzánk,Nem ellátogatott régen hozzánk,Nem amiatt látogatott el régen hozzánk,Nem amiatt ellátogatott régen hozzánk,Nem amiatt csak látogatott el régen hozzánk,Nem amiatt csak ellátogatott régen hozzánk
át,teszi,Nem teszi át,Nem átteszi,Nem teszi át a nehéz vizsgát,Nem átteszi a nehéz vizsgát,Nem hiába teszi át a nehéz vizsgát,Nem hiába átteszi a nehéz vizsgát,Nem hiába túl teszi át a nehéz vizsgát,Nem hiába túl átteszi a nehéz vizsgát
elő,tolakszik,Nem tolakszik elő,Nem előtolakszik,Nem tolakszik elő a nagy tömegben,Nem előtolakszik a nagy tömegben,Nem ott tolakszik elő a nagy tömegben,Nem ott előtolakszik a nagy tömegben,Nem ott túl tolakszik elő a nagy tömegben,Nem ott túl előtolakszik a nagy tömegben
át,ülnek,Nem ülnek át,Nem átülnek,Nem ülnek át a másik asztalhoz,Nem átülnek a másik asztalhoz,Nem aznap ülnek át a másik asztalhoz,Nem aznap átülnek a másik asztalhoz,Nem aznap túl ülnek át a másik asztalhoz,Nem aznap túl átülnek a másik asztalhoz
be,jelentette,Nem jelentette be,Nem bejelentette,Nem jelentette be a gyermek születést,Nem bejelentette a gyermek születést,Nem azért jelentette be a gyermek születést,Nem azért bejelentette a gyermek születést,Nem azért már jelentette be a gyermek születést,Nem azért már bejelentette a gyermek születést
el,dönti,Nem dönti el,Nem eldönti,Nem dönti el a jövő sorsát,Nem eldönti a jövő sorsát,Nem okvetlenül dönti el a jövő sorsát,Nem okvetlenül eldönti a jövő sorsát,Nem okvetlenül ugyan dönti el a jövő sorsát,Nem okvetlenül ugyan eldönti a jövő sorsát
meg,ismételi,Nem ismételi meg,Nem megismételi,Remélem nem ismételi meg a régi hibát,Remélem nem megismételi a régi hibát,Remélem nem mindenáron ismételi meg a régi hibát,Remélem nem mindenáron megismételi a régi hibát,Remélem nem mindenáron sem ismételi meg a régi hibát,Remélem nem mindenáron sem megismételi a régi hibát
be,szüntesse,Ne szüntesse be,Ne beszüntesse,Kérlek ne szüntesse be a hosszú szerződést,Kérlek ne beszüntesse a hosszú szerződést,Kérlek ne aztán szüntesse be a hosszú szerződést,Kérlek ne aztán beszüntesse a hosszú szerződést,Kérlek ne aztán pont szüntesse be a hosszú szerződést,Kérlek ne aztán pont beszüntesse a hosszú szerződést
át,vettem,Nem vettem át,Nem átvettem,Még nem vettem át a nagy csomagot,Még nem átvettem a nagy csomagot,Még nem azonnal vettem át a nagy csomagot,Még nem azonnal átvettem a nagy csomagot,Még nem azonnal sem vettem át a nagy csomagot,Még nem azonnal sem átvettem a nagy csomagot
be,jelentett,Nem jelentett be,Nem bejelentett,Nem jelentett be hivatalos érkezést,Nem bejelentett hivatalos érkezést,Nem igazából jelentett be hivatalos érkezést,Nem igazából bejelentett hivatalos érkezést,Nem igazából már jelentett be hivatalos érkezést,Nem igazából már bejelentett hivatalos érkezést
meg,esik,Nem esik meg,Nem megesik,A gyerek nem esik meg a meredek lépcsőn,A gyerek nem megesik a meredek lépcsőn,A gyerek nem mindenesetre esik meg a meredek lépcsőn,A gyerek nem mindenesetre megesik a meredek lépcsőn,A gyerek nem mindenesetre túl esik meg a meredek lépcsőn,A gyerek nem mindenesetre túl megesik a meredek lépcsőn
el,komorult,Nem komorult el,Nem elkomorult,Az öregember kedves arca nem komorult el,Az öregember kedves arca nem elkomorult,Az öregember kedves arca nem bármikor komorult el,Az öregember kedves arca nem bármikor elkomorult,Az öregember kedves arca nem bármikor csak komorult el,Az öregember kedves arca nem bármikor csak elkomorult
alá,írta,Nem írta alá,Nem aláírta,Ő nem írta alá az új szerződést,Ő nem aláírta az új szerződést,Ő nem azóta írta alá az új szerződést,Ő nem azóta aláírta az új szerződést,Ő nem azóta pont írta alá az új szerződést,Ő nem azóta pont aláírta az új szerződést
le,döntötték,Nem döntötték le,Nem ledöntötték,A tüntetők nem döntötték le a régi szobrot,A tüntetők nem ledöntötték a régi szobrot,A tüntetők nem mindenütt döntötték le a régi szobrot,A tüntetők nem mindenütt ledöntötték a régi szobrot,A tüntetők nem mindenütt túl döntötték le a régi szobrot,A tüntetők nem mindenütt túl ledöntötték a régi szobrot
el,rendeljenek,Ne rendeljenek el,Ne elrendeljenek,Kérlek ne rendeljenek el részletes kivizsgálást,Kérlek ne elrendeljenek részletes kivizsgálást,Kérlek ne mindenáron rendeljenek el részletes kivizsgálást,Kérlek ne mindenáron elrendeljenek részletes kivizsgálást,Kérlek ne mindenáron már rendeljenek el részletes kivizsgálást,Kérlek ne mindenáron már elrendeljenek részletes kivizsgálást
fel,hangzott,Nem hangzott fel,Nem felhangzott,Még nem hangzott el az igaz szó,Még nem elhangzott az igaz szó,Még nem mindenképpen hangzott el az igaz szó,Még nem mindenképpen elhangzott az igaz szó,Még nem mindenképpen csak hangzott el az igaz szó,Még nem mindenképpen csak elhangzott az igaz szó
meg,kockáztatja,Nem kockáztatja meg,Nem megkockáztatja,Ő nem kockáztatja meg a saját életét,Ő nem megkockáztatja a saját életét,Ő nem aztán kockáztatja meg a saját életét,Ő nem aztán megkockáztatja a saját életét,Ő nem aztán pont kockáztatja meg a saját életét,Ő nem aztán pont megkockáztatja a saját életét
meg,szereztek,Nem szereztek meg,Nem megszereztek,Nem szereztek meg könnyű győzelmet,Nem megszereztek könnyű győzelmet,Nem emiatt szereztek meg könnyű győzelmet,Nem emiatt megszereztek könnyű győzelmet,Nem emiatt talán szereztek meg könnyű győzelmet,Nem emiatt talán megszereztek könnyű győzelmet
közre,működjön,Ne működjön közre,Ne közreműködjön,Kérlek ne működjön közre a nagy projekten,Kérlek ne közreműködjön a nagy projekten,Kérlek ne ezért működjön közre a nagy projekten,Kérlek ne ezért közreműködjön a nagy projekten,Kérlek ne ezért túl működjön közre a nagy projekten,Kérlek ne ezért túl közreműködjön a nagy projekten
be,nyújtotta,Nem nyújtotta be,Nem benyújtotta,Ő nem nyújtotta be a kész jelentést,Ő nem benyújtotta a kész jelentést,Ő nem azonnal nyújtotta be a kész jelentést,Ő nem azonnal benyújtotta a kész jelentést,Ő nem azonnal pont nyújtotta be a kész jelentést,Ő nem azonnal pont benyújtotta a kész jelentést
meg,hívott,Nem hívott meg,Nem meghívott,Nem hívott meg nagy buliba,Nem meghívott nagy buliba,Nem amiatt hívott meg nagy buliba,Nem amiatt meghívott nagy buliba,Nem amiatt már hívott meg nagy buliba,Nem amiatt már meghívott nagy buliba
meg,fosztotta,Nem fosztotta meg,Nem megfosztotta,Ő nem fosztotta meg a teljes szabadságtól,Ő nem megfosztotta a teljes szabadságtól,Ő nem először fosztotta meg a teljes szabadságtól,Ő nem először megfosztotta a teljes szabadságtól,Ő nem először is fosztotta meg a teljes szabadságtól,Ő nem először is megfosztotta a teljes szabadságtól
fel,halmozott,Nem halmozott fel,Nem felhalmozott,A cég nem halmozott fel nagy adósságot,A cég nem felhalmozott nagy adósságot,A cég nem ezért halmozott fel nagy adósságot,A cég nem ezért felhalmozott nagy adósságot,A cég nem ezért csak halmozott fel nagy adósságot,A cég nem ezért csak felhalmozott nagy adósságot
meg,ismerhetik,Nem ismerhetik meg,Nem megismerhetik,Semmi esetre nem ismerhetik meg a teljes igazságot,Semmi esetre nem megismerhetik a teljes igazságot,Semmi esetre nem igazából ismerhetik meg a teljes igazságot,Semmi esetre nem igazából megismerhetik a teljes igazságot,Semmi esetre nem igazából sem ismerhetik meg a teljes igazságot,Semmi esetre nem igazából sem megismerhetik a teljes igazságot
ki,fizessék,Ne fizessék ki,Ne kifizessék,Kérlek ne fizessék ki a nagy számlát,Kérlek ne kifizessék a nagy számlát,Kérlek ne igazából fizessék ki a nagy számlát,Kérlek ne igazából kifizessék a nagy számlát,Kérlek ne igazából is fizessék ki a nagy számlát,Kérlek ne igazából is kifizessék a nagy számlát
fel,lép,Nem lép fel,Nem fellép,Biztos nem lép fel a fő színpadon,Biztos nem fellép a fő színpadon,Biztos nem aztán lép fel a fő színpadon,Biztos nem aztán fellép a fő színpadon,Biztos nem aztán már lép fel a fő színpadon,Biztos nem aztán már fellép a fő színpadon
el,mondja,Ne mondja el,Ne elmondja,Kérlek ne mondja el a nagy titkot,Kérlek ne elmondja a nagy titkot,Kérlek ne mindenképpen mondja el a nagy titkot,Kérlek ne mindenképpen elmondja a nagy titkot,Kérlek ne mindenképpen sem mondja el a nagy titkot,Kérlek ne mindenképpen sem elmondja a nagy titkot
ki,teszik,Nem teszik ki,Nem kiteszik,Lehet nem teszik ki a régi holmit,Lehet nem kiteszik a régi holmit,Lehet nem ezért teszik ki a régi holmit,Lehet nem ezért kiteszik a régi holmit,Lehet nem ezért pont teszik ki a régi holmit,Lehet nem ezért pont kiteszik a régi holmit
